Player,Tm,Pos,GP,G,A,+/-,PIM,PP,SH,GW,PP,SH,S,TOI,BLK,HIT,FOW,FOL,-9999
Jesper Bratt,NJD,W,27,10,20,15,4,4,0,2,8,0,62,464,10,10,0,0,brattje01
Dylan Cozens,BUF,C,27,10,17,2,16,2,1,0,6,1,72,460,12,21,189,200,cozendy01
Joel Eriksson Ek,MIN,C,26,10,13,0,18,4,1,0,4,0,85,511,15,42,241,247,eriksjo02
Nazem Kadri,CGY,C,27,10,10,-8,14,6,0,2,5,0,83,465,14,27,186,210,kadrina01
Travis Konecny,PHI,C,22,10,13,-12,39,3,0,2,6,1,68,436,21,26,11,10,konectr01
Dominik Kubalík,DET,LW,26,10,15,-2,4,5,0,1,7,0,75,426,11,24,13,9,kubaldo01
Jordan Kyrou,STL,C,26,10,12,-21,6,4,0,2,4,0,84,472,15,5,2,5,kyroujo01
Joe Pavelski,DAL,C,27,10,19,19,4,5,0,0,4,0,72,455,21,31,131,115,paveljo01
Tim Stützle,OTT,LW,26,10,17,-8,20,4,0,1,9,0,64,532,17,47,80,106,stuetti02
Tyler Toffoli,CGY,C,27,10,10,2,6,4,0,2,4,0,86,454,5,30,1,1,toffoty01
Trevor Zegras,ANA,C,28,10,13,-9,22,2,0,1,5,0,69,557,9,21,86,130,zegratr01
Patrice Bergeron,BOS,C,26,9,12,14,4,4,0,2,4,0,85,473,17,22,362,240,bergepa01
Matt Boldy,MIN,LW,26,9,9,1,8,3,0,1,7,0,74,487,7,23,24,12,boldyma01
Pavel Buchnevich,STL,LW,20,9,11,0,8,4,0,1,4,0,46,377,5,23,3,16,buchnpa01
Andre Burakovsky,SEA,LW,26,9,17,-7,10,4,0,2,6,0,69,457,5,9,0,4,burakan01
William Carrier,VEG,LW,28,9,3,5,10,0,0,3,0,0,63,336,13,73,1,4,carriwi01
Rasmus Dahlin,BUF,D,26,9,23,12,36,4,0,1,13,0,84,669,43,40,0,0,dahlira01
Max Domi,CHI,LW,26,9,10,-7,33,6,0,2,4,0,53,483,9,9,208,153,domima01
Kevin Fiala,LAK,LW,29,9,21,0,16,3,0,1,6,0,77,501,11,20,5,5,fialake01
Johnny Gaudreau,CBJ,LW,26,9,19,-3,8,0,0,1,5,0,77,519,6,2,0,0,gaudrjo01
Kevin Hayes,PHI,RW,28,9,19,-12,13,2,0,1,8,0,82,535,12,20,170,189,hayeske01
Tomas Hertl,SJS,C,30,9,20,-1,8,2,0,1,5,0,70,590,23,34,286,272,hertlto01
Zach Hyman,EDM,C,27,9,19,5,10,4,0,1,4,0,101,550,9,34,3,2,hymanza01
Boone Jenner,CBJ,C,26,9,11,-3,12,3,0,1,1,0,85,528,31,43,313,243,jennebo01
Arthur Kaliyev,LAK,RW,28,9,8,-4,4,7,0,0,2,0,67,329,7,26,0,0,kaliyar01
Dylan Larkin,DET,C,26,9,17,5,8,4,1,1,5,0,87,535,15,16,256,229,larkidy01
Anders Lee,NYI,LW,28,9,12,0,30,3,0,1,5,0,81,476,17,51,11,13,leean01
Elias Lindholm,CGY,C,27,9,13,-2,4,4,0,0,4,1,67,521,16,33,307,249,lindhel01
Ilya Mikheyev,VAN,F,24,9,7,5,2,1,0,0,1,0,49,411,9,8,1,6,mikheil01
Nino Niederreiter,NSH,RW,24,9,3,-7,6,2,0,1,1,0,49,376,9,58,3,3,niedeni01
Ryan O'Reilly,STL,C,27,9,5,-19,6,1,1,2,0,0,58,493,14,13,248,218,oreilry01
Zach Parise,NYI,LW,28,9,5,5,2,3,1,1,1,1,71,460,26,26,6,8,parisza01
Shane Pinto,OTT,C,26,9,2,-5,2,3,0,2,1,0,51,402,10,25,146,118,pintosh01
Conor Sheary,WSH,LW,29,9,6,-3,14,2,1,1,2,0,62,475,13,21,9,12,shearco01
Mark Stone,VEG,RW,29,9,12,11,8,1,0,1,3,0,73,562,18,24,0,1,stonema01
Vincent Trocheck,NYR,C,29,9,9,-9,18,5,0,0,5,0,98,590,11,75,257,198,trochvi01
Blake Wheeler,WPG,RW,26,9,16,3,14,5,0,4,2,0,58,461,13,16,9,12,wheelbl01
Mats Zuccarello,MIN,LW,26,9,17,-11,12,5,0,1,8,0,72,535,16,15,6,9,zuccama01
Noel Acciari,STL,C,27,8,4,2,6,0,0,0,0,1,42,374,29,80,116,100,acciano01
John Carlson,WSH,D,23,8,9,-8,2,2,1,0,3,0,80,542,55,27,0,0,carlsjo01
Jake DeBrusk,BOS,LW,25,8,11,9,6,3,0,1,5,0,78,431,8,33,2,5,debruja01
Noah Dobson,NYI,D,28,8,10,-5,2,3,0,2,6,0,86,573,42,21,0,0,dobsono01
Filip Forsberg,NSH,C,24,8,15,-7,4,2,0,1,8,0,77,435,11,40,0,0,forsbfi01
Brandon Hagel,TBL,LW,26,8,10,3,16,2,1,1,3,0,50,490,18,21,13,30,hagelbr01
Adam Henrique,ANA,C,27,8,6,-1,10,2,0,0,3,0,55,487,18,18,171,142,henriad01
Adrian Kempe,LAK,LW,29,8,8,0,22,1,0,1,2,0,78,543,10,43,6,14,kempead01
Alex Killorn,TBL,C,26,8,13,8,6,0,0,2,2,0,40,463,8,16,0,0,killoal01
David Krejci,BOS,C,23,8,13,0,8,2,0,0,7,0,36,391,13,13,115,113,krejcda01
Nathan MacKinnon,COL,C,23,8,26,7,20,4,0,0,10,0,120,504,14,20,196,223,mackina01
Evgeni Malkin,PIT,C,27,8,19,2,20,2,0,0,9,0,88,490,8,13,152,134,malkiev01
Brad Marchand,BOS,LW,18,8,13,6,10,5,0,2,9,0,52,339,5,33,7,8,marchbr03
Mason Marchment,DAL,F,27,8,7,0,42,2,0,1,1,0,63,425,12,32,6,8,marchma01
Brock McGinn,PIT,LW,27,8,4,6,6,0,1,3,0,0,40,358,13,35,2,3,mcginbr01
David Perron,DET,LW,26,8,12,2,14,2,0,2,6,0,72,438,13,29,0,1,perroda01
Taylor Raddysh,CHI,RW,26,8,3,-8,6,4,0,0,1,0,37,413,13,34,5,4,raddyta01
Jaden Schwartz,SEA,C,25,8,7,-9,8,5,0,1,0,0,54,452,5,20,30,34,schwaja01
Yegor Sharangovich,NJD,C,27,8,6,-1,6,0,2,1,0,1,49,401,19,8,4,8,sharaye01
Jonathan Toews,CHI,C,25,8,6,-10,33,4,0,1,2,0,43,442,15,2,308,169,toewsjo01
Josh Anderson,MTL,RW,24,7,2,-1,23,1,0,3,0,0,55,363,7,50,12,9,anderjo05
Viktor Arvidsson,LAK,LW,27,7,14,-5,8,4,0,2,6,0,63,446,14,6,11,14,arvidvi01
Sam Bennett,FLA,C,27,7,15,0,32,1,0,1,3,0,85,484,20,67,172,212,bennesa01
