Player,Tm,Pos,GP,G,A,+/-,PIM,PP,SH,GW,PP,SH,S,TOI,BLK,HIT,FOW,FOL,-9999
Morgan Geekie,SEA,C,20,4,6,14,11,0,0,3,0,0,18,197,13,21,91,102,geekimo01
Mikael Granlund,NSH,C,24,4,14,-11,4,1,0,0,5,0,36,469,18,26,79,107,granlmi01
Jonathan Huberdeau,CGY,LW,24,4,12,5,14,2,0,0,6,0,42,415,10,22,1,2,huberjo01
David Kampf,TOR,C,28,4,7,6,2,0,0,1,0,2,34,423,10,22,202,194,kampfda01
Patrick Kane,CHI,RW,26,4,16,-15,6,1,0,0,11,0,88,524,5,5,1,0,kanepa01
Joel Kiviranta,DAL,F,27,4,0,-4,18,0,1,0,0,0,36,335,10,49,1,4,kivirjo01
Scott Laughton,PHI,C,24,4,6,-11,12,1,1,0,2,0,59,452,10,61,151,170,laughsc01
Trevor Lewis,CGY,C,27,4,3,-2,2,0,1,1,0,0,52,353,10,60,27,45,lewistr01
Hampus Lindholm,BOS,D,26,4,16,21,20,0,0,1,6,0,54,630,32,33,0,0,lindhha01
Anton Lundell,FLA,C,24,4,9,9,12,0,1,0,2,0,56,407,15,8,137,150,lundean01
Saku Maenalanen,WPG,RW,25,4,2,4,6,0,0,0,0,0,30,288,11,57,2,0,maenasa01
Scott Mayfield,NYI,D,28,4,4,2,34,0,0,0,0,0,36,559,47,31,0,0,mayfisc01
Mason Mctavish,ANA,C,28,4,10,-8,16,2,0,0,4,0,53,396,10,26,69,75,mctavma01
Darnell Nurse,EDM,D,28,4,12,11,26,0,1,1,1,0,61,667,53,44,0,0,nurseda01
Jamie Oleksiak,SEA,D,22,4,3,2,23,0,0,0,0,0,13,412,38,52,0,0,oleksja01
Corey Perry,TBL,RW,26,4,8,-8,25,2,0,0,5,0,51,320,7,24,0,0,perryco01
Neal Pionk,WPG,D,26,4,9,-2,13,0,0,1,1,0,46,563,46,59,0,0,pionkne01
Ryan Poehling,PIT,C,25,4,3,3,0,0,1,0,0,0,28,285,15,28,93,112,poehlry01
Michael Rasmussen,DET,C,24,4,6,-6,21,0,0,0,0,0,36,336,21,60,117,120,rasmumi01
Matt Roy,LAK,D,29,4,8,-1,8,0,0,0,0,1,52,529,53,40,0,0,royma04
Derek Ryan,EDM,C,27,4,3,-1,14,0,0,0,0,0,28,290,17,16,62,74,ryande01
Nick Schmaltz,ARI,C,10,4,1,-2,10,0,0,1,0,0,21,174,4,2,11,17,schmani01
Braden Schneider,NYR,D,29,4,3,6,5,0,0,0,0,0,29,437,41,45,0,0,schnebr01
Mikhail Sergachev,TBL,D,26,4,20,0,22,2,0,1,10,1,43,620,53,30,0,0,sergami01
Mason Shaw,MIN,C,21,4,6,2,30,0,0,0,0,2,42,249,5,38,6,7,shawma01
Jakob Silfverberg,ANA,LW,27,4,2,-12,2,0,0,0,0,0,53,407,22,4,8,8,silfvja01
Brady Skjei,CAR,D,26,4,5,7,8,0,1,1,0,0,57,554,19,30,0,0,skjeibr01
Juraj Slafkovsky,MTL,LW,21,4,4,-1,23,1,0,0,1,0,25,241,15,19,3,3,slafkju01
Oskar Sundqvist,DET,C,19,4,7,-1,18,1,0,0,3,0,23,309,8,18,17,16,sundqos01
Pius Suter,DET,F,25,4,4,-3,2,0,1,0,0,0,41,319,11,14,33,46,suterpi01
Brandon Tanev,SEA,LW,26,4,7,12,6,0,0,2,0,0,41,398,26,61,2,7,tanevbr01
Shea Theodore,VEG,D,29,4,18,14,6,1,0,1,4,0,74,633,41,11,0,0,theodsh01
Frank Vatrano,ANA,LW,28,4,6,-9,10,0,0,0,0,0,82,485,27,39,1,6,vatrafr01
Arber Xhekaj,MTL,D,24,4,4,0,56,1,0,0,0,0,37,364,23,74,0,0,xhekaar01
Nikita Zadorov,CGY,D,27,4,2,8,31,0,0,0,1,0,47,528,28,67,0,0,zadorni01
Wade Allison,PHI,RW,14,3,1,4,6,0,0,0,0,0,24,175,14,42,1,1,alliswa01
Zach Aston-Reese,TOR,C,26,3,1,-3,15,0,0,1,0,0,23,301,22,52,2,2,astonza01
Rudolfs Balcers,TOT,LW,17,3,2,-1,4,0,0,0,0,0,24,173,4,7,0,2,balceru01
Alexander Barabanov,SJS,F,26,3,16,-8,8,1,0,0,8,0,51,458,19,17,0,0,barabal01
Mathew Barzal,NYI,C,28,3,27,2,14,2,0,0,12,0,69,524,10,17,59,122,barzama01
Nathan Bastian,NJD,RW,21,3,5,4,15,0,0,1,0,0,26,288,18,50,5,12,bastina01
Oliver Bjorkstrand,SEA,RW,26,3,10,-1,4,1,0,0,2,0,65,399,19,18,7,12,bjorkol01
Nick Bonino,SJS,C,27,3,3,-5,8,0,0,0,0,0,33,420,39,6,135,138,boninni01
Jesper Boqvist,NJD,C,21,3,1,2,0,0,0,2,0,0,21,225,6,11,33,47,boqvije01
Evan Bouchard,EDM,D,28,3,8,-11,10,0,0,0,3,1,64,523,28,46,0,0,bouchev01
Josh Brown,ARI,D,21,3,1,-3,16,0,0,0,0,0,25,388,47,48,0,0,brownjo01
Noah Cates,PHI,LW,28,3,6,1,2,0,0,1,2,1,28,506,28,41,115,201,catesno01
Jakob Chychrun,ARI,D,9,3,5,6,8,1,0,0,0,0,35,201,14,14,0,0,chychja01
Cal Clutterbuck,NYI,RW,23,3,2,4,12,0,0,0,0,0,20,277,17,89,0,1,cluttca01
J.T. Compher,COL,LW,25,3,10,-1,8,2,0,1,3,0,35,466,23,13,218,241,comphj.01
Andrew Copp,DET,C,26,3,14,1,8,1,0,1,1,0,33,448,13,14,174,192,coppan01
Nick Cousins,FLA,C,24,3,6,2,11,0,0,2,0,0,40,253,10,18,17,23,cousini01
Connor Dewar,MIN,C,25,3,6,1,29,0,2,0,0,1,30,278,16,44,53,66,dewarco01
Ryan Donato,SEA,C,22,3,3,6,12,0,0,0,1,0,32,228,3,23,14,15,donatry01
Brandon Duhaime,MIN,RW,14,3,1,4,20,0,1,1,0,0,21,133,5,40,0,1,duhaibr01
Radek Faksa,DAL,C,27,3,3,6,15,0,1,1,0,0,18,354,19,23,94,78,faksara01
Warren Foegele,EDM,LW,20,3,2,-2,8,0,1,1,0,0,32,245,6,39,4,4,foegewa01
Marcus Foligno,MIN,LW,21,3,5,-5,37,0,0,0,2,0,28,308,5,76,3,4,foligma01
Cam Fowler,ANA,D,28,3,12,-11,4,2,0,0,4,0,49,698,29,6,0,0,fowleca01
Morgan Frost,PHI,C,27,3,3,-5,10,0,0,1,1,0,41,390,18,26,100,147,frostmo01
Sam Gagner,WPG,C,23,3,4,-2,6,1,0,1,2,0,42,307,8,6,11,25,gagnesa01
Brendan Gallagher,MTL,RW,22,3,5,-3,10,0,0,1,2,0,51,316,7,10,4,7,gallabr01
Zemgus Girgensons,BUF,C,26,3,3,0,8,0,0,0,0,0,28,326,19,23,48,51,girgeze01
Yanni Gourde,SEA,C,25,3,11,6,18,0,1,0,0,0,45,422,13,38,117,137,gourdya01
Ryan Graves,NJD,D,27,3,6,18,6,0,0,0,0,1,40,516,39,30,0,0,gravery01
A.J. Greer,BOS,LW,19,3,4,2,26,0,0,0,0,0,20,180,7,44,0,0,greeraj01
Dylan Guenther,ARI,RW,21,3,8,-5,8,3,0,1,2,0,26,259,7,11,1,2,guentdy01
Jani Hakanpaa,DAL,D,27,3,4,8,32,0,0,1,0,0,27,510,45,77,0,0,hakanja01
Travis Hamonic,OTT,D,26,3,2,-2,26,0,0,0,0,0,48,475,42,39,0,0,hamontr01
Danton Heinen,PIT,C,24,3,7,-1,6,1,0,0,1,0,34,307,9,33,2,2,heineda01
Nils Hoglander,VAN,LW,22,3,4,-4,4,0,0,0,0,0,25,267,7,17,0,1,hoglani01
Mark Jankowski,NSH,C,12,3,1,2,4,0,1,1,0,0,16,161,11,15,73,53,jankoma01
Tanner Jeannot,NSH,F,24,3,2,4,30,0,0,0,0,0,43,374,20,90,3,7,jeannta01
Jujhar Khaira,CHI,LW,23,3,2,-2,18,1,1,0,1,0,25,315,16,37,24,15,khairju01
Keegan Kolesar,VEG,RW,27,3,1,5,27,0,0,0,0,0,20,310,19,90,6,13,koleske01
Philipp Kurashev,CHI,C,26,3,9,-16,6,0,0,1,4,0,49,449,9,18,9,23,kurasph01
Evgeny Kuznetsov,WSH,C,28,3,18,-3,20,2,0,1,6,0,70,519,11,14,186,198,kuzneev01
Sam Lafferty,CHI,C,20,3,4,-5,11,0,2,1,0,1,26,279,6,26,80,79,laffesa01
Adam Larsson,SEA,D,26,3,5,12,25,0,1,0,0,0,41,620,58,69,0,0,larssad01
Brett Leason,ANA,RW,22,3,1,-6,4,0,0,0,0,0,19,247,8,16,1,2,leasobr01
Ryan Lomberg,FLA,LW,27,3,3,-2,21,0,0,1,0,0,28,271,5,36,5,3,lombery01
Steven Lorentz,SJS,C,28,3,3,-7,4,0,0,0,0,0,41,314,11,46,75,72,lorenst01
Zack MacEwen,PHI,C,26,3,5,0,33,0,0,2,0,0,50,368,15,94,9,9,macewza01
Josh Mahura,FLA,D,27,3,3,17,16,0,0,1,0,0,31,382,20,29,0,0,mahurjo01
Matt Martin,NYI,LW,27,3,5,1,21,0,0,1,0,0,19,283,8,91,3,8,martima02
Jack McBain,ARI,C,25,3,2,0,25,0,0,0,0,0,24,340,18,68,136,159,mcbaija03
Michael McLeod,NJD,C,27,3,9,6,23,0,0,1,0,0,31,316,16,45,192,143,mcleomi01
Ryan McLeod,EDM,C,21,3,5,-1,10,0,1,0,0,1,22,310,8,12,108,135,mcleory01
Sonny Milano,WSH,LW,17,3,7,-5,6,0,0,1,3,0,24,234,4,14,0,0,milanso01
J.J. Moser,ARI,D,25,3,10,-10,14,0,0,0,6,0,30,571,47,22,0,0,moserja01
Stefan Noesen,CAR,RW,25,3,8,-2,13,3,0,0,4,0,49,312,9,27,2,1,noesest01
Ondrej Palat,NJD,LW,6,3,0,-1,0,0,0,1,0,0,8,112,4,12,0,2,palaton01
Juuso Parssinen,NSH,C,10,3,2,-5,0,1,0,1,1,0,15,168,2,21,44,57,parssju01
Adam Pelech,NYI,D,27,3,8,12,24,0,0,0,0,1,35,562,41,39,0,0,pelecad01
Nicklaus Perbix,TBL,D,20,3,3,6,8,0,0,1,0,0,34,305,26,20,0,0,perbini01
Jeff Petry,PIT,D,27,3,9,4,18,2,0,0,2,0,44,605,54,84,0,0,petryje01
Alex Pietrangelo,VEG,D,23,3,18,4,4,1,0,1,6,0,50,540,54,25,0,0,pietral01
Aliaksei Protas,WSH,C,29,3,2,0,4,0,0,0,0,0,36,321,6,18,1,9,protaal01
Eric Robinson,CBJ,LW,25,3,5,-5,6,0,0,1,0,1,31,348,10,38,1,7,robiner01
Jan Rutta,PIT,D,27,3,3,11,14,0,0,0,0,0,35,455,30,32,0,0,ruttaja02
Travis Sanheim,PHI,D,28,3,8,-6,18,0,1,0,0,0,37,582,53,27,0,0,sanhetr01
Nate Schmidt,WPG,D,26,3,3,7,2,2,0,0,1,0,33,534,38,18,0,0,schmina01
Justin Schultz,SEA,D,26,3,13,1,18,0,0,1,7,0,42,480,28,12,0,0,schulju01
Lukas Sedlak,TOT,C,27,3,5,4,12,0,0,0,0,1,40,329,28,51,85,93,sedlalu01
Colton Sissons,NSH,C,24,3,4,1,2,0,0,0,0,0,23,373,15,59,203,167,sissoco01
Michael Stone,CGY,D,17,3,4,5,8,0,0,0,2,0,36,234,16,14,0,0,stonemi01
Evgeny Svechnikov,SJS,LW,22,3,4,2,6,0,0,0,0,0,20,243,8,33,5,2,svechev01
Joe Veleno,DET,C,25,3,3,3,6,0,0,0,0,0,21,294,10,58,69,116,velenjo01
Jimmy Vesey,NYR,LW,28,3,5,3,2,0,1,0,0,0,46,371,19,44,3,6,veseyji02
Zach Werenski,CBJ,D,13,3,5,-6,0,0,0,0,2,0,41,307,24,5,0,0,werenza01
Pavel Zacha,BOS,C,26,3,13,6,4,1,0,1,2,0,46,410,4,17,30,45,zachapa01
Calen Addison,MIN,D,25,2,12,-10,12,0,0,1,10,0,31,422,16,8,0,0,addisca01
Sebastian Aho,NYI,D,24,2,3,2,2,0,0,0,0,0,30,344,14,11,0,0,ahose02
Michael Anderson,LAK,D,29,2,4,3,10,0,0,0,0,0,32,624,43,60,0,0,andermi02
Rasmus Asplund,BUF,F,18,2,4,-1,0,0,1,0,0,0,23,219,7,7,17,26,asplura01
Morgan Barron,WPG,C,16,2,5,3,4,0,0,1,1,0,28,225,10,19,4,3,barromo01
Ethan Bear,VAN,D,18,2,4,-4,2,0,0,1,0,0,16,335,37,14,0,0,bearet01
Emil Bemstrom,CBJ,C,7,2,2,0,2,0,0,0,1,0,16,90,1,5,1,2,bemstem01
Marcus Bjork,CBJ,D,13,2,4,2,14,1,0,0,2,0,14,251,19,17,0,0,bjorkma01
Nick Blankenburg,CBJ,D,7,2,1,-5,4,0,0,1,0,0,13,126,13,12,0,0,blankni01
William Borgen,SEA,D,26,2,4,1,17,0,0,1,0,0,21,407,31,64,0,0,borgewi01
Travis Boyd,ARI,C,25,2,8,-10,12,1,0,1,4,0,22,429,16,10,171,199,boydtr01
Kyle Burroughs,VAN,D,14,2,0,-7,21,0,0,0,0,0,14,254,31,47,0,0,burroky01
Bowen Byram,COL,D,10,2,3,3,4,0,1,0,1,0,11,208,11,15,0,0,byrambo01
Ben Chiarot,DET,D,26,2,4,-13,16,0,0,0,0,0,41,540,57,54,0,0,chiarbe01
Connor Clifton,BOS,D,26,2,6,10,28,0,0,0,0,0,44,512,30,71,0,0,cliftco01
Ian Cole,TBL,D,23,2,7,6,16,0,0,0,0,0,35,432,44,37,0,0,coleia01
Austin Czarnik,DET,C,8,2,0,0,2,0,0,0,0,0,9,92,3,10,3,12,czarnau01
Evgenii Dadonov,MTL,RW,22,2,2,-9,8,0,0,0,0,0,28,307,15,10,2,5,dadonev01
Justin Danforth,CBJ,RW,6,2,1,-3,4,0,0,0,0,0,10,80,1,7,4,9,danfoju01
Sheldon Dries,VAN,C,15,2,4,-7,6,1,0,0,1,0,27,162,6,14,81,74,driessh01
Mathew Dumba,MIN,D,26,2,6,-6,27,0,0,1,0,0,33,546,36,35,0,0,dumbama01
Jesper Fast,CAR,RW,26,2,6,3,2,0,0,1,0,0,23,392,11,39,4,3,fastje01
Martin Fehervary,WSH,D,26,2,2,1,10,0,0,0,0,0,36,522,39,83,0,0,feherma01
Vladislav Gavrikov,CBJ,D,26,2,5,1,10,0,0,2,0,0,32,590,53,25,0,0,gavrivl01
Luke Glendening,DAL,C,27,2,2,-2,37,0,1,0,0,0,19,338,23,36,138,87,glendlu01
Derek Grant,ANA,C,15,2,1,-6,8,0,0,0,0,0,22,207,10,17,81,76,grantde01
Jordan Gross,NSH,D,4,2,0,-5,0,1,0,0,0,0,7,70,9,3,0,0,grossjo01
Radko Gudas,FLA,D,25,2,4,2,39,0,0,0,0,0,49,470,41,95,0,0,gudasra01
Jansen Harkins,WPG,C,11,2,2,4,8,0,0,0,0,0,10,114,6,2,2,6,harkija01
Garnet Hathaway,WSH,RW,29,2,2,0,35,0,0,0,0,0,29,353,33,103,3,3,hathaga01
Pontus Holmberg,TOR,RW,13,2,2,1,2,0,0,2,0,0,8,127,8,9,30,41,holmbpo01
Alexander Holtz,NJD,RW,9,2,0,-1,8,2,0,0,0,0,10,96,3,3,0,0,holtzal01
Dryden Hunt,TOT,LW,24,2,0,-6,15,0,0,0,0,0,17,202,3,62,1,2,huntdr01
Alex Iafallo,LAK,C,6,2,4,2,4,1,0,0,0,0,9,88,1,3,0,1,iafalal01
Reese Johnson,CHI,F,20,2,1,-5,25,0,0,0,0,0,15,202,5,52,26,20,johnsre01
Tyler Johnson,CHI,C,6,2,4,1,6,1,0,0,2,0,12,84,3,13,0,3,johnsty01
Max Jones,ANA,LW,27,2,3,-11,31,0,0,0,0,0,37,319,4,39,5,6,jonesma03
Mathieu Joseph,OTT,RW,25,2,7,3,12,1,1,0,1,0,28,358,15,39,3,2,josepma01
Mark Kastelic,OTT,C,23,2,1,-5,28,0,0,1,0,0,21,196,18,49,118,87,kastema01
Alexander Kerfoot,TOR,C,28,2,10,6,12,1,0,0,1,1,43,431,18,10,26,38,kerfoal01
Klim Kostin,EDM,C,12,2,2,2,11,0,0,0,0,0,19,119,3,26,1,1,kostikl01
Jesperi Kotkaniemi,CAR,C,26,2,3,-1,22,1,0,1,1,0,38,388,6,24,134,117,kotkaje01
Brett Kulak,EDM,D,28,2,6,4,12,0,0,0,0,0,35,496,40,33,0,0,kulakbr01
Dmitry Kulikov,ANA,D,28,2,7,-7,16,0,0,0,0,0,42,585,52,44,0,0,kulikdm01
Rasmus Kupari,LAK,C,16,2,3,0,6,0,0,0,0,0,12,178,10,18,70,72,kuparra01
Tanner Laczynski,PHI,C,19,2,2,1,2,0,0,0,0,0,14,194,5,12,18,19,laczyta01
Josh Leivo,STL,LW,17,2,7,2,0,0,0,0,0,0,44,232,6,21,0,1,leivojo01
Timothy Liljegren,TOR,D,17,2,3,13,6,0,0,0,0,0,15,323,27,33,0,0,liljeti01
Esa Lindell,DAL,D,27,2,7,15,8,0,0,1,0,1,35,541,42,46,0,0,lindees01
Nils Lundkvist,DAL,D,24,2,5,-3,18,0,0,0,1,0,45,417,25,23,0,0,lundkni01
Olli Maatta,DET,D,25,2,8,11,4,0,0,0,0,0,20,498,44,29,0,0,maattol01
Matias Maccelli,ARI,LW,23,2,17,1,14,1,0,1,7,0,18,350,5,8,0,1,maccema01
Denis Malgin,TOR,C,19,2,2,1,4,0,0,0,0,0,40,217,4,25,1,1,malgide01
Josh Manson,COL,D,21,2,4,2,40,0,0,2,0,0,30,356,23,46,0,0,mansojo01
John Marino,NJD,D,27,2,6,12,10,0,0,0,0,0,35,586,37,30,0,0,marinjo01
Charlie McAvoy,BOS,D,13,2,12,7,10,1,0,1,6,0,30,301,22,24,0,0,mcavoch01
Jacob Middleton,MIN,D,26,2,4,3,36,0,0,0,0,0,26,471,47,41,0,0,middlja01
Tyler Motte,OTT,C,26,2,6,2,4,0,0,0,0,0,52,380,27,59,18,28,mottety01
Connor Murphy,CHI,D,26,2,1,2,23,0,1,0,0,0,28,516,53,50,0,0,murphco02
Tomas Nosek,BOS,C,26,2,4,6,34,0,1,0,0,0,24,330,11,29,138,100,nosekto01
Kyle Okposo,BUF,RW,21,2,9,1,10,1,0,0,3,0,42,320,6,24,28,40,okposky01
Mathieu Olivier,CBJ,F,21,2,3,-3,41,0,0,1,0,0,25,230,19,42,0,4,olivima01
Andrew Peeke,CBJ,D,26,2,2,-9,10,0,0,1,0,1,24,539,52,49,0,0,peekean01
Brett Pesce,CAR,D,26,2,6,3,10,1,0,2,1,0,45,586,38,14,0,0,pescebr01
Nicholas Robertson,TOR,LW,15,2,3,2,0,0,0,1,0,0,27,163,7,18,2,1,roberni01
Calle Rosen,STL,D,17,2,4,9,4,0,0,1,0,0,21,238,20,6,0,0,rosenca01
Robin Salo,NYI,D,5,2,0,1,4,0,0,0,0,0,5,63,8,2,0,0,saloro01
Rasmus Sandin,TOR,D,28,2,7,6,13,0,0,0,3,0,27,506,34,70,0,0,sandira01
Luke Schenn,VAN,D,27,2,6,7,44,0,0,0,0,0,34,480,41,113,0,0,schenlu01
Nick Seeler,PHI,D,28,2,3,5,22,0,0,0,0,0,26,399,47,41,0,0,seeleni01
Moritz Seider,DET,D,26,2,9,-14,8,0,0,1,4,1,44,587,62,56,0,0,seidemo01
Damon Severson,NJD,D,27,2,4,2,12,0,0,1,2,0,31,479,28,13,0,0,severda01
Cole Sillinger,CBJ,C,26,2,3,-7,12,1,0,0,0,0,37,335,9,37,122,150,sillico01
Elmer Soderblom,DET,RW,13,2,0,-5,6,0,0,1,0,0,20,168,8,10,1,1,soderel01
Jared Spurgeon,MIN,D,26,2,9,10,6,0,0,0,1,1,50,548,53,23,0,0,spurgja01
Jack Studnicka,TOT,C,11,2,1,-1,6,0,0,1,0,0,14,113,5,10,12,18,studnja01
Jarred Tinordi,CHI,D,21,2,3,-2,15,0,0,1,0,0,17,361,32,82,0,0,tinorja01
Eeli Tolvanen,NSH,RW,13,2,2,-2,4,0,0,1,0,0,19,167,16,22,1,2,tolvaee01
James van Riemsdyk,PHI,LW,8,2,3,3,8,2,0,0,1,0,10,120,3,2,0,2,vanrija01
Artem Zub,OTT,D,14,2,2,-1,10,0,0,0,0,0,15,308,16,52,0,0,zubar01
Michael Amadio,VEG,C,15,1,1,-4,4,0,0,0,0,0,15,145,8,19,16,17,amadimi01
Nils Aman,VAN,C,27,1,4,-3,2,0,0,0,0,0,20,334,18,20,70,112,amanni01
Jaret Anderson-Dolan,LAK,C,14,1,2,-1,0,0,0,0,0,0,18,148,10,24,14,13,anderja01
Mason Appleton,WPG,C,14,1,5,1,6,0,0,0,0,0,23,232,3,26,0,2,applema01
Kevin Bahl,NJD,D,4,1,0,1,2,0,0,0,0,0,5,43,8,4,0,0,bahlke01
Jake Bean,CBJ,D,14,1,5,-2,6,0,0,0,1,0,16,220,21,13,0,0,beanja01
Jordie Benn,TOR,D,6,1,1,0,6,0,0,1,0,0,8,102,15,18,0,0,bennjo01
Matt Benning,SJS,D,30,1,12,-4,14,0,0,0,1,0,22,577,47,43,0,0,bennima01
Tyler Bertuzzi,DET,LW,9,1,3,-1,4,0,0,0,1,0,22,140,4,9,0,1,bertuty01
Teddy Blueger,PIT,C,12,1,4,-1,10,0,0,0,0,0,13,152,7,19,52,60,bluegte01
Matej Blumel,DAL,RW,6,1,0,-2,0,0,0,0,0,0,7,58,2,7,0,0,blumema01
Patrick Brown,PHI,C,10,1,1,0,2,0,0,0,0,0,15,122,13,26,24,27,brownpa02
Jacob Bryson,BUF,D,23,1,7,-15,4,0,0,0,0,1,11,393,38,14,0,0,brysoja01
Ryan Carpenter,NYR,C,21,1,2,-5,10,0,0,0,0,0,17,202,11,35,67,57,carpery01
Alexandre Carrier,NSH,D,22,1,0,-3,8,0,0,0,0,0,26,403,26,30,0,0,carrial01
Cody Ceci,EDM,D,28,1,4,9,8,0,0,0,0,0,30,589,44,43,0,0,cecico01
Casey Cizikas,NYI,C,28,1,5,0,36,0,0,0,0,0,30,366,19,63,189,153,cizikca01
Joseph Cramarossa,MIN,C,4,1,0,0,4,0,0,0,0,0,1,31,1,8,0,1,cramajo01
Zac Dalpe,FLA,RW,2,1,0,1,2,0,0,0,0,0,2,22,2,0,4,5,dalpeza01
Calvin de Haan,CAR,D,19,1,1,-3,6,0,0,0,0,0,17,242,19,38,0,0,dehaaca01
Nicolas Deslauriers,PHI,LW,28,1,4,-1,57,0,0,0,0,0,20,297,11,124,1,3,deslani01
Drew Doughty,LAK,D,29,1,16,1,16,1,0,0,6,0,50,763,39,48,0,0,doughdr01
Joel Edmundson,MTL,D,16,1,2,-6,21,0,0,0,0,0,22,310,54,20,0,0,edmunjo01
Mattias Ekholm,NSH,D,24,1,7,1,8,0,0,0,2,0,41,511,25,30,0,0,ekholma01
Oliver Ekman-Larsson,VAN,D,27,1,12,-9,12,0,0,0,3,1,48,560,21,43,0,0,ekmanol01
Mackenzie Entwistle,CHI,RW,26,1,3,-4,6,0,0,0,1,0,19,306,11,47,37,36,entwima01
Michael Eyssimont,WPG,C,13,1,3,7,7,0,0,0,0,0,19,127,4,25,1,2,eyssimi01
Samuel Fagemo,LAK,LW,2,1,1,2,0,0,0,0,0,0,1,17,3,2,0,0,fagemsa01
Hudson Fasching,NYI,RW,2,1,0,0,0,0,0,0,0,0,4,26,1,3,0,1,faschhu01
Mario Ferraro,SJS,D,23,1,4,-14,8,0,0,0,1,0,24,525,47,27,0,1,ferrama01
Callan Foote,TBL,D,13,1,0,0,9,0,0,0,0,0,11,191,11,20,0,0,footeca01
Derek Forbort,BOS,D,15,1,3,6,6,0,0,1,0,0,12,276,20,37,0,0,forbode01
Jonah Gadjovich,SJS,LW,14,1,0,-3,30,0,0,0,0,0,10,120,0,37,1,3,gadjojo01
Dylan Gambrell,OTT,C,9,1,0,1,7,0,0,0,0,0,7,91,2,7,29,33,gambrdy01
Mark Giordano,TOR,D,28,1,6,12,23,0,1,1,0,0,37,555,58,30,0,0,giordma01
Samuel Girard,COL,D,19,1,4,-8,10,0,0,0,2,0,30,375,17,17,0,0,girarsa01
Cody Glass,NSH,C,14,1,2,-1,2,0,0,0,0,0,18,161,3,7,43,57,glassco01
Alex Goligoski,MIN,D,14,1,2,-1,0,0,0,1,0,0,22,246,22,12,0,0,goligal01
Jordan Greenway,MIN,LW,10,1,1,-1,8,0,0,0,0,0,14,133,7,18,0,0,greenjo02
Noah Gregor,SJS,C,13,1,0,-1,5,0,0,0,0,0,23,157,10,18,0,1,gregono01
Matt Grzelcyk,BOS,D,22,1,6,11,12,0,0,1,0,0,35,379,25,17,0,0,grzelma01
Erik Gudbranson,CBJ,D,25,1,5,-7,17,0,0,1,0,0,32,504,41,48,0,0,gudbrer01
Kaiden Guhle,MTL,D,26,1,9,-9,21,0,0,0,0,0,23,530,45,58,0,0,guhleka01
Denis Gurianov,DAL,RW,20,1,3,-5,4,0,0,0,0,0,33,255,8,9,0,0,guriade01
Nicolas Hague,VEG,D,28,1,4,-3,6,0,0,0,0,0,34,459,42,37,0,0,hagueni01
Libor Hajek,NYR,D,15,1,0,1,2,0,0,0,0,0,12,200,18,17,0,0,hajekli01
Noah Hanifin,CGY,D,26,1,10,-1,14,0,0,0,2,1,66,582,48,34,0,0,hanifno01
Scott Harrington,SJS,D,4,1,1,2,4,0,0,1,0,0,5,61,5,4,0,0,harrisc01
Jordan Harris,MTL,D,22,1,6,1,10,0,0,0,0,0,28,405,36,15,0,0,harrijo01
Ryan Hartman,MIN,RW,9,1,4,0,16,0,0,1,0,1,21,142,3,13,32,44,hartmry01
Erik Haula,NJD,LW,27,1,11,9,14,1,0,0,2,0,58,448,21,30,207,144,haulaer01
Victor Hedman,TBL,D,24,1,11,0,12,0,0,0,5,0,51,581,45,39,0,0,hedmavi01
Aleksi Heponiemi,FLA,C,7,1,1,1,2,0,0,0,0,0,5,63,1,2,1,0,heponal01
Nick Holden,OTT,D,21,1,3,-3,2,0,0,0,0,0,24,343,27,34,0,0,holdeni01
Justin Holl,TOR,D,28,1,2,5,18,0,0,1,0,0,25,604,57,58,0,0,hollju01
Dylan Holloway,EDM,C,24,1,3,-5,6,0,0,0,0,0,14,204,5,36,13,20,hollody01
Patric Hornqvist,FLA,RW,22,1,2,-4,13,0,0,1,1,0,40,204,8,18,1,5,hornqpa01
Brett Howden,VEG,C,21,1,2,2,10,0,0,0,0,0,21,275,16,33,62,57,howdebr01
Mattias Janmark,EDM,C,14,1,2,1,10,0,0,0,0,0,13,214,5,4,6,7,janmama02
Nick Jensen,WSH,D,29,1,10,6,10,0,0,0,0,1,35,604,58,38,0,0,jenseni02
Henri Jokiharju,BUF,D,16,1,3,2,12,0,0,0,0,0,20,326,19,16,0,0,jokihhe01
Caleb Jones,CHI,D,21,1,8,-10,14,0,0,0,3,0,27,379,30,28,0,0,jonesca01
Seth Jones,CHI,D,16,1,6,-15,12,0,0,0,4,1,38,396,38,23,0,0,jonesse01
Zachary Jones,NYR,D,16,1,1,-2,4,0,0,1,0,0,15,250,16,5,0,0,jonesza01
Axel Jonsson Fjällby,WPG,LW,23,1,1,-2,4,0,0,1,0,0,27,253,10,23,1,3,jonssax01
Tyson Jost,TOT,C,21,1,4,-5,22,0,0,0,0,0,22,277,9,15,40,61,jostty01
Zack Kassian,ARI,RW,13,1,0,-8,34,0,0,0,0,0,9,134,2,20,0,3,kassiza01
Boris Katchouk,CHI,LW,15,1,1,-2,8,0,0,0,0,0,13,140,3,33,0,1,katchbo01
Martin Kaut,COL,RW,18,1,2,-2,2,0,0,1,0,0,19,184,4,5,1,3,kautma01
