Name,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
Humberto Mejía,ARI,NL,5,8,7,1,1,1,0,0,0,0,0,0,2,.143,.143,.286,.429,12,2,0,0,1,0,0,mejiahu01
J.C. Mejía,CLE,AL,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,mejiaje02
Mark Melancon,SDP,NL,59,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,melanma01
Keury Mella,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,mellake01
Danny Mendick,CHW,AL,71,186,164,14,36,5,0,2,20,0,1,18,42,.220,.303,.287,.589,63,47,1,2,1,1,0,mendida01
Conner Menez*,SFG,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,menezco01
Oscar Mercado,CLE,AL,72,238,214,27,48,11,1,6,19,7,1,21,42,.224,.300,.369,.669,83,79,1,2,1,0,0,mercaos01
Yermín Mercedes,CHW,AL,68,262,240,26,65,9,1,7,37,0,1,20,46,.271,.328,.404,.732,99,97,7,1,0,1,1,merceye01
Jordy Mercer,WSN,NL,46,127,118,13,30,7,0,2,9,0,0,9,34,.254,.307,.364,.671,85,43,1,0,0,0,0,mercejo03
Whit Merrifield,KCR,AL,162,720,664,97,184,42,3,10,74,40,4,40,103,.277,.317,.395,.711,93,262,12,4,0,12,1,merriwh01
Jake Meyers,HOU,AL,49,163,146,22,38,8,0,6,28,3,0,10,50,.260,.323,.438,.761,107,64,0,4,2,1,0,meyerja02
Keynan Middleton,SEA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,middlke01
Miles Mikolas,STL,NL,9,15,8,0,0,0,0,0,0,0,0,1,5,.000,.111,.000,.111,-65,0,0,0,6,0,0,mikolmi01
Wade Miley*,CIN,NL,28,59,54,9,10,3,0,0,3,0,0,3,13,.185,.228,.241,.469,22,13,0,0,2,0,0,mileywa01
Andrew Miller*,STL,NL,37,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,millean01
Brad Miller*,PHI,NL,140,377,331,53,75,9,3,20,49,3,0,45,112,.227,.321,.453,.774,107,150,7,1,0,0,2,millebr02
Brian Miller*,MIA,NL,5,11,11,1,3,0,0,0,0,0,0,0,3,.273,.273,.273,.545,49,3,0,0,0,0,0,millebr03
Justin Miller,TOT,NL,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,milleju02
Justin Miller,WSN,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,milleju02
Justin Miller,STL,NL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,milleju02
Owen Miller,CLE,AL,60,202,191,17,39,8,0,4,18,2,0,9,54,.204,.243,.309,.551,51,59,7,1,0,1,0,milleow01
Shelby Miller,TOT,NL,12,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,millesh01
Shelby Miller,CHC,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,millesh01
Shelby Miller,PIT,NL,9,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,millesh01
Alec Mills,CHC,NL,31,36,32,1,1,1,0,0,0,0,0,0,26,.031,.031,.063,.094,-75,2,0,0,4,0,0,millsal02
Wyatt Mills,SEA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,millswy01
Hoby Milner*,MIL,NL,18,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,54,0,0,0,0,0,0,milneho01
