Name,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
Mike Freeman*,CLE,AL,24,43,38,5,9,3,0,0,3,0,0,3,11,.237,.302,.316,.618,70,12,0,1,0,1,0,freemmi01
Joshua Fuentes,COL,NL,30,103,98,14,30,7,0,2,17,1,0,2,29,.306,.320,.439,.759,92,43,1,1,0,2,0,fuentjo01
Cam Gallagher,KCR,AL,25,60,53,10,15,5,0,1,3,0,0,6,11,.283,.356,.434,.790,113,23,0,0,1,0,0,gallaca01
Joey Gallo*,TEX,AL,57,226,193,23,35,8,0,10,26,2,0,29,79,.181,.301,.378,.679,87,73,0,4,0,0,2,gallojo01
Freddy Galvis#,CIN,NL,47,159,141,18,31,5,0,7,16,1,1,13,30,.220,.308,.404,.712,84,57,5,5,0,0,0,galvifr01
Ben Gamel*,MIL,NL,40,127,114,13,27,8,1,3,10,0,2,13,39,.237,.315,.404,.718,91,46,4,0,0,0,0,gamelbe01
Adolis García,TEX,AL,3,7,6,0,0,0,0,0,0,0,0,1,4,.000,.143,.000,.143,-55,0,0,0,0,0,0,garciad02
Avisaíl García,MIL,NL,53,207,181,20,43,10,0,2,15,1,3,20,49,.238,.333,.326,.659,78,59,2,6,0,0,2,garciav01
Greg Garcia*,SDP,NL,35,71,60,6,12,3,0,0,11,1,0,7,18,.200,.279,.250,.529,50,15,0,0,3,1,0,garcigr01
Leury Garcia#,CHW,AL,16,63,59,6,16,1,0,3,8,0,0,4,9,.271,.317,.441,.758,106,26,0,0,0,0,0,garcile02
Luis García*,WSN,NL,40,139,134,18,37,6,0,2,16,1,1,5,29,.276,.302,.366,.668,81,49,3,0,0,0,0,garcilu04
Brett Gardner*,NYY,AL,49,158,130,20,29,5,1,5,15,3,3,26,35,.223,.354,.392,.747,109,51,0,1,0,1,0,gardnbr01
Kyle Garlick,PHI,NL,12,23,22,0,3,1,0,0,3,0,0,0,7,.136,.174,.182,.356,-3,4,0,1,0,0,0,garliky01
Dustin Garneau,HOU,AL,17,46,38,4,6,0,1,1,4,0,0,6,15,.158,.273,.289,.562,54,11,1,0,2,0,0,garnedu01
Mitch Garver,MIN,AL,23,81,72,8,12,1,0,2,5,0,0,7,37,.167,.247,.264,.511,42,19,1,1,0,1,0,garvemi01
Andrés Giménez*,NYM,NL,49,132,118,22,31,3,2,3,12,8,1,7,28,.263,.333,.398,.732,101,47,0,6,0,1,0,gimenan01
Ryan Goins*,CHW,AL,14,10,9,4,0,0,0,0,0,0,0,1,1,.000,.100,.000,.100,-69,0,0,0,0,0,0,goinsry01
Paul Goldschmidt,STL,NL,58,231,191,31,58,13,0,6,21,1,0,37,43,.304,.417,.466,.883,145,89,4,1,0,1,0,goldspa01
Yan Gomes,WSN,NL,30,119,109,14,31,6,1,4,13,1,0,6,22,.284,.319,.468,.787,110,51,1,1,0,3,0,gomesya01
Tony Gonsolin,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,gonsoto01
Erik González,PIT,NL,50,193,181,14,41,13,1,3,20,2,3,8,51,.227,.255,.359,.614,65,65,5,0,1,3,0,gonzaer01
Luis González*,CHW,AL,3,2,1,1,0,0,0,0,0,0,0,0,1,.000,.500,.000,.500,57,0,0,1,0,0,0,gonzalu03
Marwin Gonzalez#,MIN,AL,53,199,175,15,37,4,0,5,22,0,0,17,41,.211,.286,.320,.606,69,56,1,3,0,4,0,gonzama01
Niko Goodrum#,DET,AL,43,179,158,15,29,7,1,5,20,7,1,18,69,.184,.263,.335,.598,63,53,4,0,0,3,0,goodrni01
Brian Goodwin*,TOT,MLB,50,164,144,17,31,9,1,6,22,5,0,17,54,.215,.299,.417,.715,90,60,1,1,0,2,1,goodwbr01
Brian Goodwin*,LAA,AL,30,109,95,12,23,7,1,4,17,1,0,12,35,.242,.330,.463,.793,115,44,0,1,0,1,1,goodwbr01
Brian Goodwin*,CIN,NL,20,55,49,5,8,2,0,2,5,4,0,5,19,.163,.236,.327,.563,45,16,1,0,0,1,0,goodwbr01
Alex Gordon*,KCR,AL,50,184,163,15,34,4,0,4,11,0,0,18,37,.209,.299,.307,.606,65,50,0,3,0,0,0,gordoal01
Terrance Gore,LAD,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,gorete01
Phil Gosselin,PHI,NL,39,102,92,14,23,5,0,3,12,0,0,10,27,.250,.324,.402,.726,95,37,3,0,0,0,1,gosseph01
Yasmani Grandal#,CHW,AL,46,194,161,27,37,7,0,8,27,0,0,30,58,.230,.351,.422,.773,112,68,4,1,0,2,0,grandya01
Chad Green*,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,greench03
Didi Gregorius*,PHI,NL,60,237,215,34,61,10,2,10,40,3,2,15,28,.284,.339,.488,.827,120,105,4,4,1,2,3,gregodi01
Grayson Greiner,DET,AL,18,55,51,8,6,2,0,3,8,0,0,3,20,.118,.182,.333,.515,38,17,2,1,0,0,0,greingr01
Randal Grichuk,TOR,AL,55,231,216,38,59,9,0,12,35,1,1,13,49,.273,.312,.481,.793,114,104,5,0,0,2,1,grichra01
Trent Grisham*,SDP,NL,59,252,215,42,54,8,3,10,26,10,1,31,64,.251,.352,.456,.808,123,98,1,3,1,1,0,grishtr01
Robbie Grossman#,OAK,AL,51,192,166,23,40,12,2,8,23,8,1,21,38,.241,.344,.482,.826,128,80,1,5,0,0,2,grossro01
Deivy Grullón,BOS,AL,1,4,3,0,1,0,0,0,1,0,0,1,1,.333,.500,.333,.833,130,1,0,0,0,0,0,grullde01
Vladimir Guerrero Jr.,TOR,AL,60,243,221,34,58,13,2,9,33,1,0,20,38,.262,.329,.462,.791,115,102,6,2,0,0,1,guerrvl02
Luis Guillorme*,NYM,NL,29,68,57,6,19,6,0,0,9,2,0,10,17,.333,.426,.439,.865,140,25,3,0,0,1,0,guilllu01
Lourdes Gurriel Jr.,TOR,AL,57,224,208,28,64,14,0,11,33,3,1,14,48,.308,.348,.534,.882,138,111,7,0,0,2,0,gurrilo01
Yuli Gurriel,HOU,AL,57,230,211,27,49,12,1,6,22,0,1,12,27,.232,.274,.384,.658,77,81,6,2,0,5,0,gourryu01
Kelvin Gutiérrez,KCR,AL,4,12,9,0,1,0,0,0,0,0,0,3,6,.111,.333,.111,.444,29,1,0,0,0,0,0,gutieke01
Ronald Guzmán*,TEX,AL,26,86,78,10,19,1,1,4,9,1,0,7,24,.244,.314,.436,.750,105,34,0,1,0,0,0,guzmaro01
Jedd Gyorko,MIL,NL,42,135,117,19,29,3,0,9,17,0,0,15,38,.248,.333,.504,.838,120,59,4,1,0,2,1,gyorkje01
Eric Haase,DET,AL,7,19,17,1,3,0,0,0,2,0,0,1,6,.176,.211,.176,.387,9,3,0,0,0,1,0,haaseer01
Josh Hader*,MIL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,haderjo01
Sam Haggerty#,SEA,AL,13,54,50,7,13,4,0,1,6,4,0,4,16,.260,.315,.400,.715,100,20,0,0,0,0,0,haggesa01
Billy Hamilton,TOT,NL,31,36,32,10,4,0,0,1,2,6,2,2,7,.125,.171,.219,.390,6,7,0,0,1,1,0,hamilbi02
Billy Hamilton,NYM,NL,17,25,22,4,1,0,0,0,1,3,1,1,3,.045,.083,.045,.129,-63,1,0,0,1,1,0,hamilbi02
Billy Hamilton,CHC,NL,14,11,10,6,3,0,0,1,1,3,1,1,4,.300,.364,.600,.964,154,6,0,0,0,0,0,hamilbi02
Garrett Hampson,COL,NL,53,184,167,25,39,4,3,5,11,6,1,13,60,.234,.287,.383,.671,70,64,1,0,3,1,0,hampsga01
Ian Happ#,CHC,NL,57,231,198,27,51,11,1,12,28,1,3,30,63,.258,.361,.505,.866,131,100,1,2,1,0,1,happia01
Bryce Harper*,PHI,NL,58,244,190,41,51,9,2,13,33,8,2,49,43,.268,.420,.542,.962,158,103,5,2,1,2,8,harpebr03
Josh Harrison,WSN,NL,33,91,79,11,22,2,0,3,14,1,2,6,12,.278,.352,.418,.769,108,33,2,4,0,2,0,harrijo05
Monte Harrison,MIA,NL,32,51,47,8,8,1,0,1,3,6,0,4,26,.170,.235,.255,.491,33,12,0,0,0,0,0,harrimo01
Adam Haseley*,PHI,NL,40,92,79,7,22,5,0,0,13,0,0,7,17,.278,.348,.342,.690,88,27,3,2,3,1,1,haselad01
